Time (UTC),Open,High,Low,Close,Volume 
2017.07.13 00:00:00,15.896,15.911,15.887,15.897,20.2027
2017.07.13 00:15:00,15.901,15.912,15.894,15.904,16.3343
2017.07.13 00:30:00,15.905,15.921,15.901,15.912,14.5581
2017.07.13 00:45:00,15.911,15.935,15.906,15.928,32.1814
2017.07.13 01:00:00,15.928,15.969,15.925,15.943,28.0244
2017.07.13 01:15:00,15.946,15.959,15.941,15.956,21.4198
2017.07.13 01:30:00,15.959,15.964,15.946,15.948,12.4101
2017.07.13 01:45:00,15.947,15.956,15.933,15.954,16.2243
2017.07.13 02:00:00,15.95,15.955,15.935,15.947,19.0866
2017.07.13 02:15:00,15.947,15.952,15.94,15.947,9.7185
2017.07.13 02:30:00,15.951,15.951,15.936,15.941,17.1273
2017.07.13 02:45:00,15.941,15.976,15.941,15.949,17.5654
2017.07.13 03:00:00,15.95,15.97,15.95,15.956,31.2324
2017.07.13 03:15:00,15.954,15.966,15.946,15.954,20.574
2017.07.13 03:30:00,15.954,15.961,15.946,15.946,25.6806
2017.07.13 03:45:00,15.948,15.96,15.943,15.945,15.422
2017.07.13 04:00:00,15.942,15.955,15.941,15.944,22.233
2017.07.13 04:15:00,15.943,15.952,15.935,15.939,23.8278
2017.07.13 04:30:00,15.937,15.942,15.928,15.93,15.7857
2017.07.13 04:45:00,15.925,15.934,15.919,15.933,21.2045
2017.07.13 05:00:00,15.936,15.94,15.926,15.934,23.2245
2017.07.13 05:15:00,15.934,15.934,15.926,15.932,6.0673
2017.07.13 05:30:00,15.932,15.958,15.926,15.947,5.3359
2017.07.13 05:45:00,15.948,15.955,15.942,15.946,5.5087
2017.07.13 06:00:00,15.942,15.95,15.922,15.938,51.2712
2017.07.13 06:15:00,15.941,15.945,15.931,15.938,45.7154
2017.07.13 06:30:00,15.935,15.967,15.931,15.944,38.6716
2017.07.13 06:45:00,15.943,15.944,15.926,15.938,29.713
2017.07.13 07:00:00,15.938,15.938,15.909,15.925,51.6894
2017.07.13 07:15:00,15.924,15.929,15.914,15.922,26.6422
2017.07.13 07:30:00,15.92,15.92,15.87,15.887,52.2342
2017.07.13 07:45:00,15.888,15.899,15.876,15.883,32.4321
2017.07.13 08:00:00,15.884,15.914,15.881,15.907,23.0878
2017.07.13 08:15:00,15.911,15.914,15.899,15.905,33.8276
2017.07.13 08:30:00,15.904,15.909,15.89,15.895,28.3224
2017.07.13 08:45:00,15.895,15.899,15.882,15.889,21.4138
2017.07.13 09:00:00,15.888,15.899,15.884,15.895,19.818
2017.07.13 09:15:00,15.896,15.909,15.889,15.908,17.4203
2017.07.13 09:30:00,15.907,15.919,15.901,15.908,12.0402
2017.07.13 09:45:00,15.912,15.929,15.909,15.923,13.7579
2017.07.13 10:00:00,15.919,15.947,15.919,15.941,14.3854
2017.07.13 10:15:00,15.941,15.959,15.938,15.938,11.7499
2017.07.13 10:30:00,15.942,15.954,15.937,15.949,27.077
2017.07.13 10:45:00,15.95,15.955,15.928,15.928,21.2858
2017.07.13 11:00:00,15.928,15.939,15.916,15.92,27.1039
2017.07.13 11:15:00,15.923,15.924,15.887,15.895,26.1264
2017.07.13 11:30:00,15.893,15.903,15.869,15.876,37.1409
2017.07.13 11:45:00,15.875,15.894,15.872,15.877,44.7542
2017.07.13 12:00:00,15.877,15.911,15.877,15.904,40.1455
2017.07.13 12:15:00,15.902,15.902,15.845,15.854,64.8288
2017.07.13 12:30:00,15.871,15.922,15.867,15.88,95.5514
2017.07.13 12:45:00,15.88,15.924,15.864,15.91,48.002
2017.07.13 13:00:00,15.909,15.93,15.894,15.917,39.1126
2017.07.13 13:15:00,15.915,15.94,15.884,15.897,33.3286
2017.07.13 13:30:00,15.898,15.898,15.788,15.853,109.8828
2017.07.13 13:45:00,15.853,15.863,15.831,15.855,65.3632
2017.07.13 14:00:00,15.852,15.853,15.767,15.808,70.1559
2017.07.13 14:15:00,15.807,15.809,15.728,15.765,103.8206
2017.07.13 14:30:00,15.764,15.79,15.754,15.786,41.1471
2017.07.13 14:45:00,15.782,15.791,15.765,15.77,27.927
2017.07.13 15:00:00,15.771,15.789,15.759,15.767,32.3888
2017.07.13 15:15:00,15.768,15.773,15.743,15.755,28.9832
2017.07.13 15:30:00,15.754,15.768,15.741,15.746,26.3384
2017.07.13 15:45:00,15.746,15.754,15.716,15.748,34.1036
2017.07.13 16:00:00,15.741,15.768,15.741,15.755,23.563
2017.07.13 16:15:00,15.756,15.761,15.739,15.74,12.1099
2017.07.13 16:30:00,15.737,15.742,15.714,15.725,25.861
2017.07.13 16:45:00,15.725,15.73,15.696,15.728,33.4951
2017.07.13 17:00:00,15.727,15.745,15.705,15.736,31.0906
2017.07.13 17:15:00,15.741,15.741,15.711,15.734,10.422
2017.07.13 17:30:00,15.736,15.748,15.736,15.748,3.8521
2017.07.13 17:45:00,15.749,15.749,15.727,15.728,13.2539
2017.07.13 18:00:00,15.725,15.731,15.719,15.726,6.7006
2017.07.13 18:15:00,15.727,15.746,15.727,15.734,10.2525
2017.07.13 18:30:00,15.736,15.744,15.734,15.738,12.1466
2017.07.13 18:45:00,15.734,15.739,15.728,15.728,8.6793
2017.07.13 19:00:00,15.726,15.728,15.702,15.706,7.4686
2017.07.13 19:15:00,15.705,15.713,15.704,15.706,16.8493
2017.07.13 19:30:00,15.704,15.713,15.696,15.698,5.1787
2017.07.13 19:45:00,15.699,15.715,15.688,15.713,10.4913
2017.07.13 20:00:00,15.716,15.721,15.71,15.72,7.3546
2017.07.13 20:15:00,15.717,15.723,15.717,15.723,10.1761
2017.07.13 20:30:00,15.725,15.725,15.706,15.71,0.7795
2017.07.13 20:45:00,15.706,15.71,15.677,15.677,2.09
2017.07.13 22:00:00,15.68,15.717,15.679,15.706,1.1614
2017.07.13 22:15:00,15.706,15.708,15.691,15.706,1.0942
